country,num_seqs
USA,3002037
United Kingdom,2515248
Germany,522864
Denmark,446964
Canada,268617
France,255634
Japan,235241
Sweden,174471
India,157020
Switzerland,134766
Brazil,127255
Spain,115480
Netherlands,110464
Italy,107909
Belgium,100427
Turkey,88817
Australia,82417
Poland,79229
Slovenia,63705
Ireland,62001
Mexico,57750
Israel,57106
Norway,55854
South Korea,39660
Austria,39641
Lithuania,35797
Czech Republic,35707
South Africa,35546
Portugal,30823
Slovakia,29467
Croatia,29065
Finland,28980
Luxembourg,25451
Indonesia,22581
Chile,22302
Peru,18887
Argentina,18039
Thailand,17471
Greece,16347
Russia,15694
Colombia,15353
Singapore,14865
Philippines,14729
Bulgaria,14129
Latvia,12880
Romania,12734
Malaysia,11805
Reunion,11305
Estonia,10111
Iceland,9771
New Zealand,9061
Puerto Rico,8702
Kenya,8179
Nigeria,5683
Bangladesh,5075
Ecuador,4903
Qatar,4844
Hong Kong,4600
Papua New Guinea,3948
Senegal,3583
Costa Rica,3570
Vietnam,3536
Botswana,3266
Sri Lanka,3251
Aruba,3157
Ghana,3082
Cambodia,2803
Panama,2747
Gibraltar,2745
United Arab Emirates,2621
Trinidad and Tobago,2373
Sint Maarten,2302
Bahrain,2269
Pakistan,2036
China,1864
Egypt,1815
Guatemala,1810
Nepal,1766
Georgia,1762
U.S. Virgin Islands,1741
Martinique,1729
Brunei,1679
Curacao,1493
Bosnia and Herzegovina,1433
French Guiana,1424
Lebanon,1424
Jordan,1404
Bonaire,1300
Paraguay,1258
Maldives,1243
Mauritius,1237
Gambia,1218
Angola,1197
Saudi Arabia,1191
Dominican Republic,1161
Malawi,1160
Northern Mariana Islands,1150
Mozambique,1144
Zambia,1136
Tunisia,1120
Cuba,1119
Kosovo,1118
Seychelles,1102
Suriname,1051
Democratic Republic of the Congo,1011
Iran,1006
Liechtenstein,954
Jamaica,954
Uganda,947
Mongolia,943
Gabon,937
Mayotte,936
Zimbabwe,929
Malta,890
Canary Islands,867
Oman,851
North Macedonia,833
Guadeloupe,812
Madagascar,792
Rwanda,765
Benin,759
Uruguay,751
Cyprus,727
Serbia,723
Ukraine,714
Djibouti,687
Belize,685
Cote d'Ivoire,670
Cameroon,662
Morocco,642
Montenegro,635
Guam,629
Ethiopia,617
Burkina Faso,603
Kazakhstan,583
Nicaragua,564
Hungary,548
Republic of the Congo,543
Moldova,540
Eswatini,534
Fiji,531
Guinea,526
El Salvador,461
Kuwait,443
Venezuela,429
Iraq,414
Cabo Verde,410
Belarus,395
Togo,358
Timor-Leste,356
Taiwan,312
Namibia,298
The Bahamas,263
Bolivia,258
Saint Martin,240
Honduras,231
Saint Vincent and the Grenadines,217
Equatorial Guinea,211
Armenia,191
Haiti,186
Antigua and Barbuda,183
Niger,183
British Virgin Islands,178
South Sudan,170
Algeria,157
Azerbaijan,151
Andorra,145
Saint Lucia,142
Bermuda,129
Palestine,128
Crimea,120
Barbados,114
Kyrgyzstan,114
Central African Republic,110
Sudan,108
French Polynesia,107
Cayman Islands,101
Monaco,97
Afghanistan,93
Myanmar,90
Syria,89
Uzbekistan,88
Liberia,77
Saint Kitts and Nevis,74
Mali,73
Anguilla,69
Guyana,66
Burundi,63
Grenada,57
Sierra Leone,56
Turks and Caicos Islands,55
Albania,55
Chad,49
Guinea-Bissau,48
Libya,46
Faroe Islands,42
Solomon Islands,42
Somalia,35
Comoros,34
Mauritania,31
Dominica,30
American Samoa,25
Lesotho,23
Montserrat,18
Palau,17
Laos,16
Saint Barthelemy,14
Sao Tome and Principe,10
Wallis and Futuna Islands,10
New Caledonia,9
Sint Eustatius,4
Tanzania,2
Vanuatu,2
